SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Is_DischargeDataAvailable,RL_of_zeroGauge,MeanSeaLevel,Data Acquisition Time,River Water Level Telemetry Hourly (meter)
228,Patauna(Kiul River),Bihar,10,Bihar,198,JAMUI,-,-,-,-,-,-,-,-,-,24.96416667,86.23888889,No,0,0,23-01-2000 01:00,11.1
229,Patauna(Kiul River),Bihar,10,Bihar,198,JAMUI,-,-,-,-,-,-,-,-,-,24.96416667,86.23888889,No,0,0,23-01-2000 02:00,11.2
230,Patauna(Kiul River),Bihar,10,Bihar,198,JAMUI,-,-,-,-,-,-,-,-,-,24.96416667,86.23888889,No,0,0,26-02-2000 04:00,11.9
231,Patauna(Kiul River),Bihar,10,Bihar,198,JAMUI,-,-,-,-,-,-,-,-,-,24.96416667,86.23888889,No,0,0,26-02-2000 15:00,11.8
232,Patauna (on Nakti River),Bihar,10,Bihar,198,JAMUI,-,-,-,-,-,-,-,-,-,24.96638889,86.24277778,No,0,0,06-03-2000 04:00,12.7
233,Tarabari_1,Bihar,10,Bihar,203,KISHANGANJ,-,-,-,-,-,-,-,-,-,26.33305556,87.94388889,No,0,0,03-01-2000 09:00,12.5
234,Tarabari_1,Bihar,10,Bihar,203,KISHANGANJ,-,-,-,-,-,-,-,-,-,26.33305556,87.94388889,No,0,0,04-01-2000 21:00,12.1
235,Tarabari_1,Bihar,10,Bihar,203,KISHANGANJ,-,-,-,-,-,-,-,-,-,26.33305556,87.94388889,No,0,0,29-02-2000 04:00,11.9
236,Tarabari_1,Bihar,10,Bihar,203,KISHANGANJ,-,-,-,-,-,-,-,-,-,26.33305556,87.94388889,No,0,0,29-02-2000 05:00,12
237,Tarabari_1,Bihar,10,Bihar,203,KISHANGANJ,-,-,-,-,-,-,-,-,-,26.33305556,87.94388889,No,0,0,09-03-2000 22:30,12.6
